data	data	349436	280368	598876	808924	245096	321456	259972	239004	159604	209384	248824	257564	462876	304100	332260	160052	117044	116772	312744	315568	84848	137100	400712	430880	126068	195472	127568	230456	342424	187136	242204	247812	182780	217696	460380	503088	391636	617624	214404	285792	98440	394316	588352	533812	292880	429892	420332	493532	373172	374040	271804	178340	140444	76016	363896	518580	273948	235848	290032	270340	143008	107212	70520	135264	90316	107176	724768	687836	267020	71292	203876	506392	598184	754012	141928	205856	675640	743712	43084	21960	153416	198368	163420	187452	300988	290468	90436	281308	276436	231628	851844	725236	720644	797792	326312	237932	482340	216996	554616	603648	613612	368484	709768	727708	355916	339988	138764	303780	209160	186316	294048	485112	1.01754e+06	329168	182032	108376	
data	data	sub-C016_preop3T_AAL_2001	sub-C016_preop3T_AAL_2002	sub-C016_preop3T_AAL_2101	sub-C016_preop3T_AAL_2102	sub-C016_preop3T_AAL_2111	sub-C016_preop3T_AAL_2112	sub-C016_preop3T_AAL_2201	sub-C016_preop3T_AAL_2202	sub-C016_preop3T_AAL_2211	sub-C016_preop3T_AAL_2212	sub-C016_preop3T_AAL_2301	sub-C016_preop3T_AAL_2302	sub-C016_preop3T_AAL_2311	sub-C016_preop3T_AAL_2312	sub-C016_preop3T_AAL_2321	sub-C016_preop3T_AAL_2322	sub-C016_preop3T_AAL_2331	sub-C016_preop3T_AAL_2332	sub-C016_preop3T_AAL_2401	sub-C016_preop3T_AAL_2402	sub-C016_preop3T_AAL_2501	sub-C016_preop3T_AAL_2502	sub-C016_preop3T_AAL_2601	sub-C016_preop3T_AAL_2602	sub-C016_preop3T_AAL_2611	sub-C016_preop3T_AAL_2612	sub-C016_preop3T_AAL_2701	sub-C016_preop3T_AAL_2702	sub-C016_preop3T_AAL_3001	sub-C016_preop3T_AAL_3002	sub-C016_preop3T_AAL_4001	sub-C016_preop3T_AAL_4002	sub-C016_preop3T_AAL_4011	sub-C016_preop3T_AAL_4012	sub-C016_preop3T_AAL_4021	sub-C016_preop3T_AAL_4022	sub-C016_preop3T_AAL_4101	sub-C016_preop3T_AAL_4102	sub-C016_preop3T_AAL_4111	sub-C016_preop3T_AAL_4112	sub-C016_preop3T_AAL_4201	sub-C016_preop3T_AAL_4202	sub-C016_preop3T_AAL_5001	sub-C016_preop3T_AAL_5002	sub-C016_preop3T_AAL_5011	sub-C016_preop3T_AAL_5012	sub-C016_preop3T_AAL_5021	sub-C016_preop3T_AAL_5022	sub-C016_preop3T_AAL_5101	sub-C016_preop3T_AAL_5102	sub-C016_preop3T_AAL_5201	sub-C016_preop3T_AAL_5202	sub-C016_preop3T_AAL_5301	sub-C016_preop3T_AAL_5302	sub-C016_preop3T_AAL_5401	sub-C016_preop3T_AAL_5402	sub-C016_preop3T_AAL_6001	sub-C016_preop3T_AAL_6002	sub-C016_preop3T_AAL_6101	sub-C016_preop3T_AAL_6102	sub-C016_preop3T_AAL_6201	sub-C016_preop3T_AAL_6202	sub-C016_preop3T_AAL_6211	sub-C016_preop3T_AAL_6212	sub-C016_preop3T_AAL_6221	sub-C016_preop3T_AAL_6222	sub-C016_preop3T_AAL_6301	sub-C016_preop3T_AAL_6302	sub-C016_preop3T_AAL_6401	sub-C016_preop3T_AAL_6402	sub-C016_preop3T_AAL_7001	sub-C016_preop3T_AAL_7002	sub-C016_preop3T_AAL_7011	sub-C016_preop3T_AAL_7012	sub-C016_preop3T_AAL_7021	sub-C016_preop3T_AAL_7022	sub-C016_preop3T_AAL_7101	sub-C016_preop3T_AAL_7102	sub-C016_preop3T_AAL_8101	sub-C016_preop3T_AAL_8102	sub-C016_preop3T_AAL_8111	sub-C016_preop3T_AAL_8112	sub-C016_preop3T_AAL_8121	sub-C016_preop3T_AAL_8122	sub-C016_preop3T_AAL_8201	sub-C016_preop3T_AAL_8202	sub-C016_preop3T_AAL_8211	sub-C016_preop3T_AAL_8212	sub-C016_preop3T_AAL_8301	sub-C016_preop3T_AAL_8302	sub-C016_preop3T_AAL_9001	sub-C016_preop3T_AAL_9002	sub-C016_preop3T_AAL_9011	sub-C016_preop3T_AAL_9012	sub-C016_preop3T_AAL_9021	sub-C016_preop3T_AAL_9022	sub-C016_preop3T_AAL_9031	sub-C016_preop3T_AAL_9032	sub-C016_preop3T_AAL_9041	sub-C016_preop3T_AAL_9042	sub-C016_preop3T_AAL_9051	sub-C016_preop3T_AAL_9052	sub-C016_preop3T_AAL_9061	sub-C016_preop3T_AAL_9062	sub-C016_preop3T_AAL_9071	sub-C016_preop3T_AAL_9072	sub-C016_preop3T_AAL_9081	sub-C016_preop3T_AAL_9082	sub-C016_preop3T_AAL_9100	sub-C016_preop3T_AAL_9110	sub-C016_preop3T_AAL_9120	sub-C016_preop3T_AAL_9130	sub-C016_preop3T_AAL_9140	sub-C016_preop3T_AAL_9150	sub-C016_preop3T_AAL_9160	sub-C016_preop3T_AAL_9170	
349436	sub-C016_preop3T_AAL_2001	0	1034	14826	1922	0	8	17120	322	4	0	17258	138	3534	90	52	4	8970	44	12192	2590	18	0	728	478	0	8	8	20	1864	2	142	130	28	212	20	0	102	142	32	22	18	22	16	6	0	12	48	64	6	4	44	6	218	0	186	28	18620	82	350	24	6100	0	2906	10	2916	4	112	42	13460	348	108	28	3264	112	428	14	10568	764	146	0	1240	0	176	8	2062	10	10	12	1950	12	3058	912	2650	1188	2578	154	1854	188	1234	464	1850	586	1906	798	748	182	264	218	474	146	304	292	1578	254	164	46	
280368	sub-C016_preop3T_AAL_2002	1034	0	80	12254	10	8	30	16020	4	30	16	12028	32	2230	18	18	2	3000	936	3258	0	2	12	398	8	12	0	4	6	102	2	2	734	98	4	0	62	130	12	10	4	14	6	2	0	8	46	204	4	12	0	42	0	4	46	14	176	15474	60	896	0	8140	0	4362	0	5114	834	32	4748	2584	70	112	62	838	8	90	612	14712	0	0	0	14	16	44	12	638	16	10	0	358	1244	3226	1138	2164	244	1978	408	334	310	2344	918	758	888	2384	436	784	84	548	414	262	360	1676	3412	214	456	156	
598876	sub-C016_preop3T_AAL_2101	14826	80	0	25964	3006	1022	39452	1456	3462	18	12822	236	13458	292	986	24	4930	54	33388	6938	100	272	46788	15728	1018	2218	208	184	2730	4	12378	9240	8060	2086	3948	266	610	44	694	16	50	20	1918	106	184	78	1360	56	26	16	20	4	6	4	602	14	1384	18	234	32	150	6	170	4	50	6	6300	782	2118	8	654	356	2934	100	112	18	3514	282	20	0	362	0	386	6	236	2	36	10	266	4	512	200	468	240	772	40	354	14	80	50	172	182	482	156	632	42	86	48	306	152	16	18	280	52	34	20	
808924	sub-C016_preop3T_AAL_2102	1922	12254	25964	0	1088	2436	6884	32592	222	2682	2470	16746	4128	11060	878	1438	308	6532	15952	43892	150	326	22514	60384	1280	2808	410	270	1350	1072	11128	15148	1450	6614	122	1346	594	900	132	322	76	460	92	466	20	240	88	748	20	20	30	64	4	2	166	210	910	710	646	488	34	186	2	424	16	308	1560	1996	2584	182	3286	3798	3756	6364	118	1160	5826	12856	40	8	62	142	404	490	120	74	88	312	34	42	1794	1698	1888	2198	1500	2364	610	254	416	864	1098	622	2006	2784	2082	1536	320	594	2106	1488	344	390	2394	880	1856	876	
245096	sub-C016_preop3T_AAL_2111	0	10	3006	1088	0	3176	636	24	10218	44	2	52	234	46	7430	12	0	12	4	14	3400	1542	3826	1808	9924	5494	9178	2144	2716	6	1266	704	96	16	14	22	3772	212	1152	48	2914	146	500	18	162	10	560	316	352	6	260	2	126	0	62	62	38	12	526	44	6	0	0	6	0	0	592	68	8	2	6962	2224	12384	174	3154	62	4556	982	62	0	6	2	3820	28	590	0	2120	74	38	2	214	134	216	128	724	202	634	14	86	46	68	98	360	136	260	80	50	64	488	460	54	36	194	178	100	138	
321456	sub-C016_preop3T_AAL_2112	8	8	1022	2436	3176	0	154	710	300	7232	6	20	552	94	776	2314	0	10	8	12	282	1576	2538	1616	4016	13612	1118	13162	210	738	1124	868	36	230	130	918	514	11828	96	2380	30	10334	1072	1468	70	522	286	4148	146	858	84	952	10	880	20	7474	26	74	66	256	0	6	0	2	0	4	176	616	8	0	2474	17556	988	18144	34	3884	482	3850	2	4	0	80	60	1510	48	386	46	1200	4	488	186	404	146	148	228	136	226	10	80	316	104	46	172	194	106	268	34	80	234	280	24	22	182	106	150	188	
259972	sub-C016_preop3T_AAL_2201	17120	30	39452	6884	636	154	0	824	5296	48	4330	286	20896	190	2530	6	340	88	912	1006	24	108	7130	4444	106	122	34	62	986	0	810	1612	52	126	42	8	274	198	60	10	32	162	186	8	26	0	220	22	74	0	74	0	88	0	126	8	1780	2	160	16	900	0	84	4	770	0	150	38	270	0	970	200	2242	168	448	14	1158	148	22	0	6	0	172	6	344	0	48	10	378	0	74	26	98	24	164	12	24	2	24	4	20	16	192	36	158	22	12	22	128	60	6	4	30	24	20	14	
239004	sub-C016_preop3T_AAL_2202	322	16020	1456	32592	24	710	824	0	16	5638	300	6524	316	19342	42	2748	70	130	720	706	0	8	542	4350	30	164	4	8	88	132	0	0	10	0	2	0	154	342	30	148	20	142	0	0	0	6	4	32	8	142	10	612	0	0	48	102	100	1392	158	1116	16	2830	0	114	4	3886	186	50	640	2	564	2504	838	680	8	400	970	1330	16	0	6	2	22	60	20	1948	20	112	2	1106	224	152	224	162	248	160	34	8	32	48	52	76	220	142	168	174	34	46	196	54	8	12	160	24	56	48	
159604	sub-C016_preop3T_AAL_2211	4	4	3462	222	10218	300	5296	16	0	168	2	34	2100	48	13480	18	0	8	4	6	172	96	1850	184	270	140	996	170	1894	4	22	42	2	10	22	34	2428	684	174	60	418	520	1294	32	472	12	1242	582	910	2	520	0	230	0	116	72	56	0	708	50	8	0	0	4	0	0	954	130	16	0	1072	668	12474	512	1738	106	2802	1444	116	0	4	2	1524	30	184	0	478	94	0	0	158	88	188	64	364	400	190	18	34	50	38	46	374	74	264	34	20	24	338	478	22	42	104	66	42	42	
209384	sub-C016_preop3T_AAL_2212	0	30	18	2682	44	7232	48	5638	168	0	2	24	324	960	456	5844	0	10	4	16	2	74	72	876	24	222	0	168	132	368	2	0	6	0	104	506	208	8216	24	756	2	5230	2142	3790	64	454	320	6214	208	532	134	156	8	144	12	5604	12	308	42	620	0	12	0	6	0	32	114	634	2	12	14	11830	512	14854	12	4334	244	4106	0	0	0	6	10	330	6	44	2	448	2	22	164	368	132	300	94	522	132	14	44	278	112	36	136	490	64	1010	8	202	378	164	24	24	276	60	360	456	
248824	sub-C016_preop3T_AAL_2301	17258	16	12822	2470	2	6	4330	300	2	2	0	178	22338	194	164	4	9898	12	8272	206	0	4	4132	2058	0	2	0	4	10282	6	408	376	36	94	24	0	114	54	46	26	34	36	52	2	12	0	40	22	36	4	112	10	118	0	92	12	2966	8	698	6	878	2	2396	8	414	12	494	24	138	0	866	44	5934	178	374	6	1060	232	44	0	2026	0	1122	22	3190	8	22	22	2744	12	120	54	120	58	342	52	20	6	34	14	26	40	160	54	262	42	38	24	94	50	8	2	64	26	22	8	
